datetime,option_type,atm_term_structure
2017-03-08,购,0.010460692330472508
2017-03-09,沽,0.024636475707643452
2017-03-09,购,0.008808801071203071
2017-03-10,沽,0.02522816648038049
2017-03-10,购,0.0014625880230243083
2017-03-13,沽,0.03221506670414291
2017-03-13,购,0.008650301718627271
2017-03-14,沽,0.029768425371914996
2017-03-14,购,0.007062660345743654
2017-03-15,沽,0.02497753014986212
2017-03-15,购,0.004347968859638907
2017-03-16,沽,0.031181515966263406
2017-03-16,购,0.0006866459374473606
2017-03-17,沽,0.027627811669435554
2017-03-17,购,0.004038207536261969
2017-03-20,沽,0.03391555557740264
2017-03-20,购,0.0058029786913531625
2017-03-21,沽,0.03346007548566241
2017-03-21,购,0.012911411354069108
2017-03-22,沽,-0.0013091665610140773
2017-03-22,购,0.00963653896854798
2017-03-23,沽,0.01956826546791263
2017-03-23,购,0.0005856826873346585
2017-03-24,沽,0.01665046766559488
2017-03-24,购,0.0012542157841681154
2017-03-27,沽,0.015876951336673797
2017-03-27,购,0.0006881396028515322
2017-03-28,沽,0.02236285601146231
2017-03-28,购,0.0024225559374924295
2017-03-29,沽,0.021843626351776755
2017-03-29,购,0.003314240437621821
2017-03-30,沽,0.02051596876791447
2017-03-30,购,-0.0015728333951178105
2017-03-31,沽,0.023971313849018024
2017-03-31,购,0.005784794637079223
2017-04-05,沽,0.01614926401668565
2017-04-05,购,0.0009658718990379853
2017-04-06,沽,0.014535067792304984
2017-04-06,购,0.0002223542063344829
2017-04-07,沽,0.012974395442690204
2017-04-07,购,0.0005569006703989668
2017-04-10,沽,0.014393117119974085
2017-04-10,购,0.0005805682206757798
2017-04-11,沽,0.013098925816178185
2017-04-11,购,-0.0015385187247647185
2017-04-12,沽,0.007556035874155718
2017-04-12,购,-0.003227111670750816
2017-04-13,沽,0.012863651778342916
2017-04-13,购,-0.0046141966593720996
2017-04-14,沽,0.016968268609142977
2017-04-14,购,-0.0035261562340927464
2017-04-17,沽,0.021176609567154243
2017-04-17,购,-0.0015585495215659482
2017-04-18,沽,0.019352356564514856
2017-04-18,购,-0.00654564790010074
2017-04-19,沽,0.010942318555371047
2017-04-19,购,0.0015506030842966992
2017-04-20,沽,0.011335258729669015
2017-04-20,购,-0.0056355277605251676
2017-04-21,沽,0.01841673563937946
2017-04-21,购,-0.006421078208090772
2017-04-24,沽,0.01188347808436122
2017-04-24,购,-0.0024170336751962486
2017-04-25,沽,0.01889757681521997
2017-04-25,购,0.00023465678497895174
2017-04-26,沽,-0.007347536418667267
2017-04-26,购,-0.0003484338027682834
2017-04-27,沽,-0.009059618773253729
2017-04-27,购,-0.0031750260559362618
2017-04-28,沽,-0.006035783878480806
2017-04-28,购,-0.012587560666538404
2017-05-02,沽,0.00039553250640562976
2017-05-02,购,-0.010682096750531334
2017-05-03,沽,-0.00031920701226588233
2017-05-03,购,-0.0135714711295295
2017-05-04,沽,-0.0012972672619832846
2017-05-04,购,-0.009898638865117016
2017-05-05,沽,-0.006074738605953259
2017-05-05,购,-0.006078719337137417
2017-05-08,沽,-0.00046635952098444955
2017-05-08,购,-0.00812685812728305
2017-05-09,沽,-0.006444644008123591
2017-05-09,购,-0.009486879962019846
2017-05-10,沽,0.0013697586300152956
2017-05-10,购,-0.009224714288416052
2017-05-11,沽,0.0002745436712886795
2017-05-11,购,-0.014628476488817169
