datetime,option_type,expiration_order,skewness
2015-04-23,购,1.0,0.0633817518269235
2015-04-23,购,2.0,-0.041750467782871614
2015-04-23,购,3.0,0.2418231588497221
2015-04-24,沽,0.0,0.03233429282636865
2015-04-24,沽,1.0,0.17043843540152567
2015-04-24,沽,2.0,0.08438730536693309
2015-04-24,沽,3.0,0.18510515379514253
2015-04-24,购,0.0,-0.1807776349668508
2015-04-24,购,1.0,-0.2096846162878028
2015-04-24,购,2.0,0.31796214399640416
2015-04-24,购,3.0,0.48432972029315646
2015-04-27,沽,0.0,-0.06999696355425807
2015-04-27,沽,1.0,0.19064795819990285
2015-04-27,沽,2.0,0.1470511861977613
2015-04-27,沽,3.0,0.2997729715538
2015-04-27,购,0.0,-0.1780565790875278
2015-04-27,购,1.0,-0.1981208571165276
2015-04-27,购,2.0,0.4664132901669943
2015-04-27,购,3.0,0.5375293975107919
2015-04-28,沽,0.0,-0.09797696836188954
2015-04-28,沽,1.0,0.15020968004590965
2015-04-28,沽,2.0,0.0755709679313223
2015-04-28,沽,3.0,0.1593916774125745
2015-04-28,购,0.0,0.2111015305770341
2015-04-28,购,1.0,0.05509840227444588
2015-04-28,购,2.0,0.35349923903321157
2015-04-28,购,3.0,0.187129290244395
2015-04-29,沽,0.0,-0.06377660396238122
2015-04-29,沽,1.0,0.1135420259321063
2015-04-29,沽,2.0,0.06379891399394946
2015-04-29,沽,3.0,0.11189762318977248
2015-04-29,购,0.0,0.06357882027815774
2015-04-29,购,1.0,0.24381487878401242
2015-04-29,购,2.0,0.24408799796196495
2015-04-29,购,3.0,0.04098053881545955
2015-04-30,沽,0.0,-0.060169740619927456
2015-04-30,沽,1.0,0.09739462306891826
2015-04-30,沽,2.0,0.0615633142726235
2015-04-30,沽,3.0,0.08500895552892047
2015-04-30,购,0.0,0.03713831197743584
2015-04-30,购,1.0,0.22570736782022655
2015-04-30,购,2.0,0.08726651973760978
2015-04-30,购,3.0,0.012714010071571498
2015-05-04,沽,0.0,-0.1169238513839119
2015-05-04,沽,1.0,0.04768771012122501
2015-05-04,沽,2.0,0.1465096931584023
2015-05-04,沽,3.0,-0.03284578528773256
2015-05-04,购,0.0,-0.014744412202134405
2015-05-04,购,1.0,0.022883914778204468
2015-05-04,购,2.0,0.2244904049483185
2015-05-04,购,3.0,0.16431856023574923
2015-05-05,沽,0.0,-0.07727467010230554
2015-05-05,沽,1.0,0.06278563958802767
2015-05-05,沽,2.0,0.04703380485904701
2015-05-05,沽,3.0,0.11091796702566839
2015-05-05,购,0.0,-0.1428537432716021
2015-05-05,购,1.0,-0.03262695742070491
2015-05-05,购,2.0,0.12555371097380597
2015-05-05,购,3.0,0.019429922692012273
2015-05-06,沽,0.0,0.0036964193871658864
2015-05-06,沽,1.0,0.19120699318072307
2015-05-06,沽,2.0,0.07606971842445008
2015-05-06,沽,3.0,-0.021395787371986715
2015-05-06,购,0.0,-0.042035553568705954
2015-05-06,购,1.0,-0.0010509442370316654
2015-05-06,购,2.0,0.06768412915623172
2015-05-06,购,3.0,0.0673829956286501
2015-05-07,沽,0.0,-0.09031818012803236
2015-05-07,沽,1.0,0.09829071799797509
2015-05-07,沽,2.0,0.05891588187048019
2015-05-07,沽,3.0,0.15981915610059644
2015-05-07,购,0.0,-0.060347636949107275
2015-05-07,购,1.0,0.03026741600582225
2015-05-07,购,2.0,0.09099399950495629
2015-05-07,购,3.0,-0.023003582828673597
2015-05-08,沽,0.0,-0.04931718946125015
